Month,All items,Food,Food at home,Food away from home,Energy,Gasoline (all types),Electricity,Natural gas (piped),All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Medical care commodities,Services less energy services,Shelter,Medical care services,Education and communication
Jan-11,1.60%,1.80%,2.10%,1.50%,7.30%,13.40%,1.20%,-6.40%,1.00%,-0.20%,0.00%,0.10%,2.70%,1.40%,0.60%,3.00%,1.20%
Feb-11,2.10%,2.30%,2.80%,1.60%,11.00%,19.20%,2.20%,-5.90%,1.10%,0.00%,-0.40%,0.90%,2.70%,1.50%,0.80%,3.00%,1.20%
Mar-11,2.70%,2.90%,3.60%,1.90%,15.50%,27.50%,1.00%,-5.50%,1.20%,0.20%,-0.60%,1.60%,2.80%,1.60%,0.90%,2.70%,1.10%
Apr-11,3.20%,3.20%,3.90%,2.10%,19.00%,33.10%,0.60%,-1.50%,1.30%,0.70%,0.10%,2.40%,3.10%,1.60%,1.00%,2.80%,1.00%
May-11,3.60%,3.50%,4.40%,2.20%,21.50%,36.90%,1.80%,-1.20%,1.50%,1.20%,1.00%,3.40%,3.00%,1.60%,1.10%,3.00%,1.00%
Jun-11,3.60%,3.70%,4.70%,2.30%,20.10%,35.60%,1.50%,-0.80%,1.60%,1.60%,1.90%,4.00%,2.90%,1.60%,1.20%,2.90%,1.00%
Jul-11,3.60%,4.20%,5.40%,2.60%,19.00%,33.60%,2.00%,-2.80%,1.80%,1.80%,3.10%,4.00%,3.20%,1.70%,1.40%,3.20%,1.00%
Aug-11,3.80%,4.60%,6.00%,2.70%,18.40%,32.40%,1.90%,-2.00%,2.00%,2.10%,4.20%,3.80%,3.00%,1.90%,1.60%,3.30%,1.10%
Sep-11,3.90%,4.70%,6.30%,2.60%,19.30%,33.30%,2.70%,0.20%,2.00%,2.00%,3.50%,3.60%,3.00%,2.00%,1.70%,2.80%,1.10%
Oct-11,3.50%,4.70%,6.20%,2.70%,14.20%,23.50%,2.90%,-2.20%,2.10%,2.10%,4.20%,3.40%,3.10%,2.10%,1.80%,3.10%,1.40%
Nov-11,3.40%,4.60%,5.90%,2.90%,12.40%,19.70%,2.70%,-1.30%,2.20%,2.20%,4.80%,3.30%,3.10%,2.10%,1.80%,3.50%,1.40%
Dec-11,3.00%,4.70%,6.00%,2.90%,6.60%,9.90%,2.20%,-3.70%,2.20%,2.20%,4.60%,3.20%,3.20%,2.30%,1.90%,3.60%,1.70%
